17
0	10	10	0	0	0	0	0	0	0	0	3	0	0	0	0	0
10	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0
10	10	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	10	10	0	0	0	0	0	3	0	0	0	0	0
0	0	1	10	0	10	1	0	0	0	0	0	0	0	0	0	0
0	0	0	10	10	0	0	0	0	3	0	0	0	0	0	0	0
0	0	1	0	1	0	0	10	10	0	0	0	0	0	0	0	0
0	0	0	0	0	0	10	0	10	0	3	0	0	0	0	0	0
0	0	0	0	0	0	10	10	0	3	0	0	0	0	0	0	0
0	0	0	0	0	3	0	0	3	0	4	4	0	0	6	0	0
0	3	0	0	0	0	0	3	0	4	0	4	0	0	0	0	6
3	0	0	3	0	0	0	0	0	4	4	0	1	5	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5	4	0	7	0	7
0	0	0	0	0	0	0	0	0	6	0	0	0	7	0	4	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2
0	0	0	0	0	0	0	0	0	0	6	0	0	7	5	2	0
